Time Data,Headline
2003-03-28T00:00:00Z,tadpole find proves frogs surviving drought
2005-01-08T00:00:00Z,pedestrians warned of headphone risk
2007-04-21T00:00:00Z,Land Rovers Tadpole Turns Into a Prince
2007-06-15T00:00:00Z,State of the Art: Headphones to Shut Out the World
2007-10-17T00:00:00Z,grljusich hangs up the headphones
2008-06-20T00:00:00Z,Movie Review | 'Get Smart': More Deadpan but Still a Bumbler
2009-01-08T00:00:00Z,"After the Zone Blitz, the Deadpan Defense"
2009-05-06T00:00:00Z,deadpool spin off in development
2009-06-10T00:00:00Z,tadpole downpour stumps japanese meteorologists
2009-08-07T11:21:00Z,"WallStSense.com Fundamental & Technical Coverage of ADPT, JOSB, MENT, BPOP, MXIM and CWTR"
2009-08-14T10:45:00Z,"WallStSense.com Fundamental & Technical Coverage of CRM, TRH, ADP, CNQ, BMY and VLO"
2009-08-25T13:14:00Z,"KBR, Inc. target raised to $29 from $24 at Broadpoint AmTech"
2009-08-25T13:18:00Z,"OmniVision (OVTI) should be bought ahead of earnings, says Broadpoint AmTech"
2009-08-27T13:26:00Z,Broadpoint Amtech Initiated Vmware (VMW) with a Buy Rating
2009-08-27T13:31:00Z,Broadpoint Amtech Upgrades Precision Cast (PCP) to Buy from Neutral
2009-09-03T13:32:00Z,Broadpoint Amtech Raises Micron (MU) Target to $10 from $8
2009-09-09T10:13:00Z,New Data Conditioning Platform Strategy for Cloud Computing and Enterprise Data Center Environments Released by Adaptec (ADPT)
2009-09-09T10:14:00Z,Adaptec (ADPT) Releases Solution for Maximum Application Acceleration in Data Center Environments
2009-09-11T13:46:00Z,Broadpoint AmTech Raises VMware (VMW) Target to $45 from $40
2009-10-09T12:46:00Z,bought ADP
2009-11-10T17:10:00Z,Automotaic Data Processing (ADP is now in a breakout zone
2009-11-12T19:50:00Z,ADP dividend up 3%
2009-12-03T18:41:00Z,Neutral on Adobe Systems (ADBE) - Broadpoint AmTech Report
2009-12-18T18:12:00Z,"Barrons’ Picks Among S&P 500 Dividend Paying Stocks (PM, PFE, FPL, ADP)"
2010-01-06T12:44:00Z,US Futures Slip On Jitteriness Before The Release Of ADP Employment Data
2010-01-07T13:00:00Z,"Zacks Bull and Bear of the Day Highlights: Shutterfly, Tessera Technologies, Automatic Data Processing, Kelly Services and Manpower - Press Releases"
2010-01-11T17:19:00Z,Precision (PCP) Offers Cyclical Recovery Opportunity: Broadpoint AmTech
2010-01-13T00:00:00Z,Headphone That Vibrate - And Ones That Don't
2010-02-03T17:53:00Z,ADP Reports Solid Results Despite Difficult Environment
2010-02-04T13:25:00Z,"Zacks Analyst Blog Highlights: Cisco Systems, Inc., Honda Motor Co., Entergy Corporation, Comcast Corp. and Automatic Data Processing - Press Releases"
2010-03-02T00:00:00Z,ADP Report: Tomorrow's Headliners
2010-03-03T00:00:00Z,ADP Report: Wednesday's Headlines
2010-03-03T13:54:00Z,"ADP Reports 20,000 Jobs Lost (USO, ADP)"
2010-03-23T14:45:00Z,ADP Upgraded To Neutral At Cowen
2010-04-05T20:15:00Z,Broadpoint AmTech Maintains Neutral Rating On Manhattan Associates (MANH)
2010-04-06T17:40:00Z,"Broadpoint.AmTech Reiterates Buy Rating On Xilinx, Raises Estimates (XLNX)"
2010-04-14T09:36:00Z,"Top 5 Large-Cap NASDAQ Stocks With Highest Dividend Yield (PAYX, ADP, INTC, CMCSA, AMAT)"
2010-04-14T22:21:00Z,"More And More Ex-CEOs Take Up Activist Role (YHOO, MSFT, RRGB, VIA.B ADPT)"
2010-05-04T00:00:00Z,ADP Report: Tomorrow's Headliners
2010-05-05T00:00:00Z,ADP Report: Wednesday's Headlines
2010-05-12T11:16:00Z,"Top 5 Large-Cap NASDAQ Stocks In The Technology Sector With The Highest Earnings Per Share Expectations (GOOG, AAPL, FSLR, ADP, CTSH)"
2010-05-13T15:15:00Z,Puts Trade in ADP
2010-06-03T00:00:00Z,ADP Report: Thursday's Headlines
2010-07-09T15:09:00Z,Protection Purchased on Automatic Data Processing (ADP)
2010-07-15T09:34:00Z,"Top 4 Stocks In The Business Software And Services Industry With The Highest Dividend Yield (ADP, BLKB, JKHY, IRM)"
2010-07-29T11:49:00Z,Automatic Data Processing Posts In-Line Q4 Earnings
2010-08-04T13:46:00Z,US Stock Futures Turn Positive On Favorable ADP Data
2010-08-04T14:24:00Z,ADP Sees Private Sector Gain Jobs - Analyst Blog
2010-08-04T15:55:00Z,"Stocks Flirt With Green at Open on ADP (TM, TWX, GRMN)"
2010-08-05T12:53:00Z,"Zacks Analyst Blog Highlights: Automatic Data Processing, Ford, Toyota Motor, Time Warner and SIRIUS XM Radio  - Press Releases"
2010-08-16T15:46:00Z,Calls Purchased on Automatic Data Processing (ADP)
2010-09-01T15:12:00Z,"ADP Sees 10,000 Jobs Lost  - Analyst Blog"
2010-09-02T19:35:00Z,ADP: Sideways Action Continues
2010-10-01T16:22:00Z,Air Products to Increase Prices for Polyurethane Additives and Curatives (ADP)
2010-10-06T00:00:00Z,"Sept. ADP employment down 39,000"
2010-10-07T13:10:00Z,ADP Announces Acquisition of MasterTax
2010-10-27T09:26:00Z,"Earnings Scheduled For October 27 (V, PEG, DPS, PG, ODP, ESRX, WHR, NOC, S, GG, SYMC, PX, COP, OI, IP, SO, LM, VMED, CMCSA, ADP, ALL, GD, IACI)"
2010-10-27T19:09:00Z,"ADP Beats, Outlook Raised - Analyst Blog"
2010-10-28T13:14:00Z,Citigroup Raises Automatic Data Processing Estimates And PT
2010-11-03T00:00:00Z,"US private sector adds 43,000 jobs in October, ADP report finds"
2010-11-04T17:54:00Z,"Zacks Bull and Bear of the Day Highlights: Bayer, Greatbatch, Automatic Data Processing, Ford and Caterpillar. - Press Releases"
2010-11-08T13:12:00Z,Hunt Oil Company Signs Multi-Year Deal With ADP
2010-11-09T16:51:00Z,Automatic Data Processing Increases Cash Dividend 6% to $.36
2010-11-12T17:59:00Z,Calls Purchased on Automatic Data Processing (ADP)
2010-11-15T13:19:00Z,J.P Morgan Remains Neutral On Automatic Data Processing Following Analyst Day
2010-11-16T19:03:00Z,Options Brief: Automatic Data Processing (ADP)
2010-11-22T12:00:00Z,"Dividend Stocks: Wendy's, ADP, Intel"
2010-11-24T13:19:00Z,Oppenheimer Encouraged by Automatic Data Processing's Growth Prospects (ADP)
2010-12-01T13:21:00Z,"Private Sector Employment Increased by 93,000 Jobs in November, According to ADP"
2010-12-01T13:34:00Z,"ADP: November Payrolls Rise 93,000"
2010-12-01T13:49:00Z,ADP Employment Reading Bodes Well for Near 200K Official Job Growth Figure Friday
2010-12-01T16:00:00Z,"ADP Sees 93,000 Jobs Added - Analyst Blog"
2010-12-07T15:41:00Z,"NASDAQ Stocks Hitting 52-Week Highs (ADP, BJRI, ATX, GEOI)"
2010-12-10T19:49:00Z,Is ADP Trending Toward $50 and Beyond?
2011-01-05T11:39:00Z,US Stock Futures Down As Investors Await ADP Employment Report
2011-01-05T16:03:00Z,ADP Sees Great Job Growth! - Analyst Blog
2011-01-26T14:22:00Z,Automatic Data Processing Beats Estimates (ADP)
2011-01-26T21:31:00Z,"ADP Beats, Raises Guidance - Analyst Blog"
2011-02-02T13:30:00Z,Mad Catz and Microsoft Corporation Enter into Agreement to Produce Headphones for Xbox 360
2011-02-02T16:31:00Z,"ADP Sees Gain of 187,000 Jobs - Analyst Blog"
2011-02-08T17:53:00Z,Automatic Data Processing Declares Dividend of $.36
2011-03-01T21:22:00Z,ADP Acquires AdvancedMD
2011-03-02T00:00:00Z,ADP Acquires AdvancedMD - Analyst Blog
2011-03-02T12:49:00Z,J.P. Morgan Reports Solif F2Q11 Results for Paychex And Automatic Data Processing
2011-03-14T00:00:00Z,Say cheese! The smiling tadpole caught on camera thanks to high-powered microscope
2011-03-30T10:26:00Z,US Stock Futures Up As Investors Await ADP Employment Report
2011-04-04T18:49:00Z,"Stocks Near Or Above 52-Week High (EFX, KO, HUM, LUK, QEP, ADP, GENZ, CCE, TMK, THC)"
2011-04-06T18:02:00Z,"Stocks Near Or Above 52-Week High (FAST, GWW, STJ, HSY, PGN, IRM, WPI, ADP, AA, MCO)"
2011-04-23T00:00:00Z,From heels to trainers: Fergie slips into sneakers and Lycra for NYC jog She had workout music playing on Dr Dre Beats headphones
2011-04-25T13:24:00Z,Stifel Nicolaus Raises ADP Target From $60 To $63
2011-04-26T19:33:00Z,HARMAN's AKG Q 701 Headphones Named Russian Audio-Video Product of the Year (HAR)
2011-04-29T15:40:00Z,Earnings Preview for Automatic Data Processing (ADP)
2011-05-02T05:13:00Z,"Earnings Scheduled For May 2 (DISH, APC, FE, EIX, THG, HIG, DVA, MEE, HUM, ADP, CHK, L, PFG)"
2011-05-02T20:02:00Z,Auromatic Data Processing Reports EPS of $0.85 vs. $0.85 Estimate; Revenues $2.74B vs. $2.66B Estimate (ADP)
2011-05-02T20:06:00Z,Automatic Data Guides FY2012 EPS of $2.51-$2.53 vs. $2.69 Estimate (ADP)
2011-05-03T00:00:00Z,"ADP, Anadarko: New Targets, Estimates"
2011-05-03T00:00:00Z,"ADP Reports In Line, Ups Outlook - Analyst Blog"
2011-05-03T09:43:00Z,JP Morgan Raises PT On Automatic Data Processing To $54
2011-05-03T10:31:00Z,Deutsche Bank Raises PT On Automatic Data Processing To $50
2011-05-03T12:00:00Z,UPDATE: Deutsche Bank Color On ADP
2011-05-03T15:23:00Z,"Goldman Sachs Upgrades PT On Automatic Data Processing To $50, Reiterated Neutral (ADP)"
2011-05-06T10:21:00Z,JP Morgan Raises PT On Automatic Data Processing To $57
2011-05-19T17:05:00Z,ADP Appoints Carlos A. Rodriguez President and COO
2011-05-25T00:00:00Z,"Insiders Trading KMI, GME, ADPT, MSTR"
2011-05-31T00:00:00Z,"Market Preview: ADP Report, Dollar General, Ford"
2011-05-31T11:03:00Z,Ford and ADP Announce Agreement for Ford Automated Card Everyone Program
2011-06-01T00:00:00Z,ADP Report Disappoints Big - Analyst Blog
2011-06-01T10:25:00Z,US Stock Futures Slightly Down As Investors Await ADP Report
2011-06-01T12:16:00Z,US Equity Markets Spiking Lower on Heavy Volume after ADP Employment Number Disappoints
2011-06-01T12:17:00Z,"UPDATE: U.S. Private-Sector Employment Increased by 38,000 Jobs in May, According to ADP Report"
