Year,Month,Headline Count
2003,3,1
2003,4,8
2003,6,1
2003,7,2
2003,8,1
2003,9,1
2003,10,9
2003,11,4
2003,12,1
2004,1,9
2004,2,10
2004,3,10
2004,4,2
2004,5,12
2004,6,10
2004,7,4
2004,8,3
2004,9,1
2004,10,4
2004,11,3
2004,12,6
2005,1,8
2005,2,1
2005,3,7
2005,4,4
2005,5,3
2005,6,7
2005,7,4
2005,8,3
2005,9,8
2005,10,2
2005,11,1
2005,12,7
2006,1,14
2006,2,3
2006,3,4
2006,4,7
2006,5,4
2006,6,1
2006,7,3
2006,8,7
2006,9,1
2006,10,2
2006,11,5
2006,12,5
2007,1,20
2007,2,21
2007,3,13
2007,4,24
2007,5,8
2007,6,10
2007,7,17
2007,8,20
2007,9,15
2007,10,16
2007,11,6
2007,12,8
2008,1,16
2008,2,6
2008,3,11
2008,4,7
2008,5,3
2008,6,18
2008,7,9
2008,8,15
2008,9,18
2008,10,12
2008,11,10
2008,12,8
2009,1,15
2009,2,5
2009,3,16
2009,4,8
2009,5,6
2009,6,24
2009,7,9
2009,8,17
2009,9,21
2009,10,29
2009,11,22
2009,12,42
2010,1,69
2010,2,51
2010,3,67
2010,4,81
2010,5,70
2010,6,87
2010,7,102
2010,8,55
2010,9,73
2010,10,89
2010,11,62
2010,12,64
2011,1,92
2011,2,81
2011,3,98
2011,4,102
2011,5,84
2011,6,98
2011,7,111
2011,8,153
2011,9,75
2011,10,206
2011,11,114
2011,12,115
2012,1,168
2012,2,225
2012,3,304
2012,4,267
2012,5,157
2012,6,194
2012,7,164
2012,8,250
2012,9,299
2012,10,232
2012,11,179
2012,12,153
2013,1,193
2013,2,170
2013,3,101
2013,4,132
2013,5,108
2013,6,119
2013,7,164
2013,8,161
2013,9,229
2013,10,154
2013,11,103
2013,12,137
2014,1,147
2014,2,85
2014,3,77
2014,4,137
2014,5,167
2014,6,127
2014,7,134
2014,8,115
2014,9,363
2014,10,225
2014,11,102
2014,12,125
2015,1,160
2015,2,223
2015,3,316
2015,4,257
2015,5,206
2015,6,237
2015,7,217
2015,8,172
2015,9,279
2015,10,181
2015,11,97
2015,12,191
2016,1,231
2016,2,317
2016,3,300
2016,4,206
2016,5,223
2016,6,179
2016,7,149
2016,8,172
2016,9,280
2016,10,162
2016,11,121
2016,12,160
2017,1,174
2017,2,164
2017,3,113
2017,4,95
2017,5,133
2017,6,136
2017,7,112
2017,8,159
2017,9,199
2017,10,102
2017,11,150
2017,12,182
2018,1,180
2018,2,125
2018,3,123
2018,4,132
2018,5,191
2018,6,137
2018,7,106
2018,8,214
2018,9,224
2018,10,149
2018,11,197
2018,12,120
2019,1,284
2019,2,137
2019,3,222
2019,4,168
2019,5,115
2019,6,145
2019,7,153
2019,8,140
2019,9,196
2019,10,175
2019,11,169
2019,12,131
2020,1,200
2020,2,189
2020,3,178
2020,4,243
2020,5,239
2020,6,115
2020,7,87
2020,8,119
2020,9,88
2020,10,81
2020,11,61
2020,12,80
2021,1,50
2021,2,35
2021,3,44
2021,4,69
2021,5,81
2021,6,73
2021,7,39
2021,8,71
2021,9,106
2021,10,72
2021,11,60
2021,12,60
2022,1,65
2022,2,50
2022,3,67
2022,4,52
2022,5,62
2022,6,46
2022,7,58
2022,8,50
2022,9,80
2022,10,52
2022,11,145
2022,12,819
2023,1,1068
2023,2,914
2023,3,917
2023,4,1031
2023,5,1040
2023,6,1347
2023,7,1054
2023,8,1025
2023,9,1985
2023,10,1542
2023,11,670
2023,12,210
2024,1,6
2024,2,439
2024,3,487
2024,4,466
2024,5,538
2024,6,504
2024,7,462
2024,8,472
2024,9,462
2024,10,431
2024,11,488
2024,12,500
2025,1,155
