Year,Month,Headline Count
2007,9,1
2008,6,1
2009,4,1
2009,9,6
2009,10,2
2009,11,1
2009,12,3
2010,1,2
2010,2,7
2010,4,3
2010,5,1
2010,6,5
2010,7,7
2010,8,6
2010,9,4
2010,10,19
2010,11,9
2010,12,16
2011,1,5
2011,2,13
2011,3,9
2011,4,18
2011,5,11
2011,6,4
2011,7,20
2011,9,10
2011,10,20
2011,11,10
2011,12,27
2012,1,11
2012,2,21
2012,3,16
2012,4,8
2012,5,21
2012,6,21
2012,7,24
2012,8,19
2012,9,14
2012,10,30
2012,11,13
2012,12,20
2013,1,32
2013,2,17
2013,3,12
2013,4,16
2013,5,14
2013,6,14
2013,7,31
2013,8,9
2013,9,15
2013,10,15
2013,11,2
2013,12,23
2014,1,11
2014,2,3
2014,3,6
2014,4,13
2014,5,13
2014,6,27
2014,7,21
2014,8,11
2014,9,10
2014,10,12
2014,11,5
2014,12,28
2015,1,28
2015,2,14
2015,3,20
2015,4,33
2015,5,75
2015,6,18
2015,7,13
2015,8,16
2015,9,8
2015,10,8
2015,11,7
2015,12,12
2016,1,13
2016,2,11
2016,3,24
2016,4,14
2016,5,18
2016,6,31
2016,7,11
2016,8,21
2016,9,20
2016,10,11
2016,11,29
2016,12,38
2017,1,11
2017,2,18
2017,3,31
2017,4,6
2017,5,13
2017,6,18
2017,7,16
2017,8,29
2017,9,5
2017,10,14
2017,11,74
2017,12,54
2018,1,44
2018,2,70
2018,3,119
2018,4,24
2018,5,16
2018,6,36
2018,7,54
2018,8,30
2018,9,42
2018,10,33
2018,11,28
2018,12,51
2019,1,18
2019,2,14
2019,3,45
2019,4,10
2019,5,10
2019,6,76
2019,7,65
2019,8,35
2019,9,58
2019,10,29
2019,11,22
2019,12,46
2020,1,31
2020,2,25
2020,3,38
2020,4,13
2020,5,18
2020,6,12
2022,2,1
2022,5,1
2022,12,7
2023,1,22
2023,2,8
2023,3,8
2023,4,7
2023,5,28
2023,6,29
2023,7,18
2023,8,18
2023,9,54
2023,10,26
2023,11,12
2023,12,11
2024,2,5
2024,3,7
2024,5,1
2024,6,19
2024,7,1
2024,8,4
2024,9,22
2024,10,5
2024,12,48
