Year,Month,Headline Count
2001,1,2
2003,10,1
2004,1,1
2004,4,3
2004,5,2
2004,7,4
2004,8,6
2004,10,1
2004,11,2
2004,12,2
2005,1,1
2005,2,1
2005,4,2
2005,6,1
2005,7,1
2005,8,3
2005,9,6
2005,10,6
2005,12,1
2006,1,3
2006,2,3
2006,3,2
2006,4,3
2006,6,2
2006,7,1
2006,8,2
2006,9,3
2006,10,1
2006,11,5
2006,12,3
2007,1,19
2007,2,17
2007,3,12
2007,4,9
2007,5,14
2007,6,14
2007,7,7
2007,8,12
2007,9,17
2007,10,27
2007,11,20
2007,12,13
2008,1,10
2008,2,13
2008,3,16
2008,4,13
2008,5,9
2008,6,13
2008,7,20
2008,8,9
2008,9,23
2008,10,17
2008,11,13
2008,12,6
2009,1,12
2009,2,24
2009,3,18
2009,4,16
2009,5,20
2009,6,14
2009,7,19
2009,8,18
2009,9,20
2009,10,39
2009,11,39
2009,12,40
2010,1,86
2010,2,42
2010,3,76
2010,4,51
2010,5,74
2010,6,39
2010,7,55
2010,8,66
2010,9,49
2010,10,79
2010,11,67
2010,12,65
2011,1,70
2011,2,49
2011,3,58
2011,4,83
2011,5,103
2011,6,75
2011,7,77
2011,8,117
2011,9,79
2011,10,60
2011,11,75
2011,12,73
2012,1,112
2012,2,101
2012,3,60
2012,4,153
2012,5,104
2012,6,111
2012,7,83
2012,8,117
2012,9,92
2012,10,133
2012,11,76
2012,12,74
2013,1,89
2013,2,77
2013,3,78
2013,4,107
2013,5,111
2013,6,104
2013,7,77
2013,8,95
2013,9,76
2013,10,118
2013,11,119
2013,12,95
2014,1,153
2014,2,107
2014,3,92
2014,4,112
2014,5,162
2014,6,129
2014,7,135
2014,8,93
2014,9,86
2014,10,103
2014,11,84
2014,12,109
2015,1,124
2015,2,112
2015,3,108
2015,4,160
2015,5,146
2015,6,110
2015,7,115
2015,8,139
2015,9,128
2015,10,91
2015,11,55
2015,12,64
2016,1,94
2016,2,105
2016,3,105
2016,4,106
2016,5,135
2016,6,115
2016,7,69
2016,8,62
2016,9,90
2016,10,124
2016,11,48
2016,12,69
2017,1,84
2017,2,80
2017,3,88
2017,4,107
2017,5,83
2017,6,64
2017,7,104
2017,8,145
2017,9,59
2017,10,118
2017,11,67
2017,12,70
2018,1,88
2018,2,84
2018,3,95
2018,4,99
2018,5,96
2018,6,95
2018,7,143
2018,8,161
2018,9,122
2018,10,189
2018,11,119
2018,12,121
2019,1,95
2019,2,116
2019,3,139
2019,4,137
2019,5,160
2019,6,150
2019,7,197
2019,8,175
2019,9,162
2019,10,168
2019,11,170
2019,12,140
2020,1,144
2020,2,178
2020,3,101
2020,4,177
2020,5,161
2020,6,88
2020,7,226
2020,8,261
2020,9,57
2020,10,71
2020,11,33
2020,12,57
2021,1,67
2021,2,56
2021,3,38
2021,4,46
2021,5,46
2021,6,49
2021,7,37
2021,8,37
2021,9,38
2021,10,27
2021,11,18
2021,12,33
2022,1,35
2022,2,25
2022,3,23
2022,4,21
2022,5,40
2022,6,51
2022,7,51
2022,8,34
2022,9,23
2022,10,29
2022,11,142
2022,12,1395
2023,1,1625
2023,2,1754
2023,3,1528
2023,4,1836
2023,5,2190
2023,6,1825
2023,7,1734
2023,8,1890
2023,9,2207
2023,10,2286
2023,11,429
2023,12,144
2024,1,1
2024,2,258
2024,3,278
2024,4,377
2024,5,472
2024,6,197
2024,7,395
2024,8,485
2024,9,283
2024,10,330
2024,11,245
2024,12,308
2025,1,57
