Year,Month,Headline Count
2003,2,3
2003,3,2
2003,4,3
2003,5,1
2003,6,24
2003,7,14
2003,8,6
2003,9,10
2003,10,2
2003,11,5
2003,12,1
2004,1,4
2004,2,11
2004,3,8
2004,4,19
2004,5,6
2004,6,3
2004,7,17
2004,8,9
2004,9,5
2004,10,5
2004,11,3
2004,12,10
2005,1,2
2005,2,1
2005,3,4
2005,4,1
2005,5,1
2005,6,5
2005,7,6
2005,8,2
2005,9,2
2005,10,3
2005,11,2
2005,12,6
2006,1,1
2006,2,2
2006,3,7
2006,4,2
2006,5,1
2006,6,4
2006,7,3
2006,8,4
2006,9,6
2006,11,1
2006,12,1
2007,1,10
2007,2,12
2007,3,3
2007,4,4
2007,5,6
2007,6,6
2007,7,5
2007,8,3
2007,9,7
2007,10,7
2007,11,4
2007,12,3
2008,1,10
2008,2,5
2008,3,3
2008,4,3
2008,5,5
2008,6,4
2008,7,3
2008,8,2
2008,9,6
2008,10,5
2008,11,6
2008,12,4
2009,1,5
2009,2,2
2009,3,9
2009,4,6
2009,5,8
2009,6,6
2009,7,7
2009,8,17
2009,9,7
2009,10,12
2009,11,18
2009,12,18
2010,1,30
2010,2,14
2010,3,7
2010,4,32
2010,5,26
2010,6,29
2010,7,41
2010,8,44
2010,9,41
2010,10,36
2010,11,21
2010,12,27
2011,1,44
2011,2,20
2011,3,26
2011,4,41
2011,5,43
2011,6,18
2011,7,26
2011,8,15
2011,9,19
2011,10,34
2011,11,22
2011,12,30
2012,1,49
2012,2,25
2012,3,42
2012,4,46
2012,5,36
2012,6,32
2012,7,41
2012,8,39
2012,9,46
2012,10,51
2012,11,58
2012,12,20
2013,1,32
2013,2,25
2013,3,19
2013,4,41
2013,5,38
2013,6,40
2013,7,29
2013,8,39
2013,9,27
2013,10,41
2013,11,36
2013,12,30
2014,1,63
2014,2,22
2014,3,45
2014,4,34
2014,5,31
2014,6,35
2014,7,46
2014,8,45
2014,9,56
2014,10,45
2014,11,55
2014,12,50
2015,1,65
2015,2,55
2015,3,89
2015,4,102
2015,5,85
2015,6,97
2015,7,79
2015,8,78
2015,9,53
2015,10,80
2015,11,43
2015,12,48
2016,1,63
2016,2,69
2016,3,69
2016,4,65
2016,5,51
2016,6,52
2016,7,69
2016,8,65
2016,9,71
2016,10,63
2016,11,83
2016,12,82
2017,1,139
2017,2,107
2017,3,188
2017,4,52
2017,5,126
2017,6,78
2017,7,82
2017,8,63
2017,9,47
2017,10,58
2017,11,71
2017,12,48
2018,1,93
2018,2,80
2018,3,75
2018,4,71
2018,5,79
2018,6,88
2018,7,132
2018,8,76
2018,9,70
2018,10,97
2018,11,82
2018,12,82
2019,1,150
2019,2,85
2019,3,80
2019,4,157
2019,5,131
2019,6,80
2019,7,137
2019,8,93
2019,9,112
2019,10,134
2019,11,131
2019,12,127
2020,1,108
2020,2,166
2020,3,83
2020,4,108
2020,5,96
2020,6,47
2020,7,39
2020,8,73
2020,9,41
2020,10,23
2020,11,29
2020,12,33
2021,1,39
2021,2,45
2021,3,43
2021,4,19
2021,5,31
2021,6,15
2021,7,16
2021,8,32
2021,9,12
2021,10,39
2021,11,21
2021,12,22
2022,1,20
2022,2,31
2022,3,49
2022,4,28
2022,5,39
2022,6,22
2022,7,28
2022,8,28
2022,9,27
2022,10,25
2022,11,75
2022,12,497
2023,1,707
2023,2,814
2023,3,785
2023,4,928
2023,5,883
2023,6,995
2023,7,872
2023,8,917
2023,9,1003
2023,10,956
2023,11,96
2023,12,57
2024,1,1
2024,2,83
2024,3,86
2024,4,92
2024,5,123
2024,6,152
2024,7,158
2024,8,141
2024,9,186
2024,10,165
2024,11,105
2024,12,177
2025,1,49
