Year,Month,Headline Count
2004,8,2
2004,10,1
2005,4,1
2006,2,1
2007,3,1
2007,5,1
2007,11,1
2008,10,1
2009,11,3
2009,12,1
2010,1,3
2010,2,6
2010,3,4
2010,4,1
2010,5,7
2010,6,3
2010,8,14
2010,9,7
2010,10,3
2010,11,14
2010,12,1
2011,1,5
2011,2,19
2011,3,11
2011,4,8
2011,5,22
2011,6,3
2011,7,6
2011,8,17
2011,9,9
2011,10,10
2011,11,24
2011,12,11
2012,1,15
2012,2,22
2012,3,3
2012,4,15
2012,5,12
2012,6,2
2012,7,10
2012,8,18
2012,9,9
2012,10,9
2012,11,10
2012,12,5
2013,1,9
2013,2,6
2013,3,9
2013,4,12
2013,5,11
2013,6,6
2013,7,10
2013,8,9
2013,9,11
2013,10,3
2013,11,11
2013,12,6
2014,1,8
2014,2,8
2014,3,5
2014,4,18
2014,5,17
2014,6,3
2014,7,6
2014,8,9
2014,9,8
2014,10,9
2014,11,16
2014,12,7
2015,1,6
2015,2,19
2015,3,3
2015,4,16
2015,5,12
2015,6,7
2015,7,7
2015,8,24
2015,9,14
2015,10,7
2015,11,10
2015,12,3
2016,1,11
2016,2,14
2016,3,5
2016,4,9
2016,5,16
2016,6,12
2016,7,16
2016,8,22
2016,9,6
2016,10,8
2016,11,9
2016,12,3
2017,1,7
2017,2,25
2017,3,1
2017,4,9
2017,5,8
2017,6,6
2017,7,2
2017,8,11
2017,9,14
2017,10,12
2017,11,29
2017,12,9
2018,1,13
2018,2,25
2018,3,7
2018,4,14
2018,5,31
2018,6,15
2018,7,21
2018,8,34
2018,9,18
2018,10,11
2018,11,29
2018,12,11
2019,1,11
2019,2,34
2019,3,13
2019,4,21
2019,5,41
2019,6,11
2019,7,15
2019,8,40
2019,9,12
2019,10,22
2019,11,33
2019,12,9
2020,1,21
2020,2,31
2020,3,18
2020,4,21
2020,5,35
2020,6,3
2020,7,3
2020,8,2
2020,10,1
2021,3,1
2021,6,1
2021,7,1
2021,8,1
2021,10,1
2022,1,2
2022,3,2
2022,5,3
2022,6,1
2022,8,1
2022,9,1
2022,11,1
2022,12,7
2023,1,6
2023,2,3
2023,3,7
2023,4,4
2023,5,5
2023,6,8
2023,7,6
2023,8,7
2023,9,17
2023,10,7
2023,11,2
2024,2,17
2024,3,6
2024,4,1
2024,5,8
2024,6,5
2024,7,9
2024,8,14
2024,10,10
2024,11,6
2024,12,4
2025,1,3
