Year,Month,Headline Count
2003,2,2
2003,4,2
2003,5,1
2003,6,1
2003,8,2
2003,9,1
2003,10,1
2003,11,2
2003,12,3
2004,1,3
2004,2,1
2004,3,2
2004,4,5
2004,5,3
2004,6,5
2004,7,3
2004,8,4
2004,10,4
2004,12,8
2005,1,2
2005,2,3
2005,3,3
2005,4,4
2005,5,3
2005,6,7
2005,7,2
2005,8,4
2005,9,5
2005,10,2
2005,11,3
2005,12,2
2006,1,3
2006,2,1
2006,3,1
2006,5,7
2006,6,6
2006,7,1
2006,8,3
2006,9,3
2006,10,2
2006,11,6
2006,12,2
2007,1,13
2007,2,5
2007,3,9
2007,4,10
2007,5,10
2007,6,11
2007,7,16
2007,8,10
2007,9,19
2007,10,17
2007,11,16
2007,12,19
2008,1,5
2008,2,12
2008,3,7
2008,4,14
2008,5,14
2008,6,10
2008,7,22
2008,8,15
2008,9,12
2008,10,14
2008,11,7
2008,12,19
2009,1,11
2009,2,22
2009,3,22
2009,4,21
2009,5,19
2009,6,15
2009,7,15
2009,8,37
2009,9,30
2009,10,22
2009,11,22
2009,12,23
2010,1,19
2010,2,23
2010,3,39
2010,4,39
2010,5,89
2010,6,49
2010,7,77
2010,8,54
2010,9,84
2010,10,112
2010,11,151
2010,12,136
2011,1,158
2011,2,115
2011,3,140
2011,4,119
2011,5,114
2011,6,158
2011,7,112
2011,8,136
2011,9,158
2011,10,138
2011,11,158
2011,12,176
2012,1,187
2012,2,224
2012,3,165
2012,4,185
2012,5,516
2012,6,220
2012,7,166
2012,8,190
2012,9,141
2012,10,164
2012,11,124
2012,12,121
2013,1,149
2013,2,127
2013,3,128
2013,4,137
2013,5,130
2013,6,126
2013,7,130
2013,8,157
2013,9,126
2013,10,156
2013,11,116
2013,12,123
2014,1,132
2014,2,176
2014,3,170
2014,4,144
2014,5,118
2014,6,123
2014,7,153
2014,8,112
2014,9,115
2014,10,155
2014,11,137
2014,12,131
2015,1,159
2015,2,108
2015,3,190
2015,4,135
2015,5,154
2015,6,158
2015,7,176
2015,8,158
2015,9,176
2015,10,143
2015,11,170
2015,12,187
2016,1,141
2016,2,154
2016,3,166
2016,4,196
2016,5,221
2016,6,191
2016,7,197
2016,8,160
2016,9,161
2016,10,185
2016,11,235
2016,12,152
2017,1,197
2017,2,175
2017,3,149
2017,4,202
2017,5,177
2017,6,143
2017,7,150
2017,8,100
2017,9,187
2017,10,179
2017,11,180
2017,12,140
2018,1,199
2018,2,181
2018,3,499
2018,4,498
2018,5,280
2018,6,232
2018,7,324
2018,8,228
2018,9,208
2018,10,255
2018,11,261
2018,12,221
2019,1,252
2019,2,236
2019,3,303
2019,4,247
2019,5,335
2019,6,291
2019,7,376
2019,8,268
2019,9,272
2019,10,380
2019,11,287
2019,12,215
2020,1,228
2020,2,249
2020,3,204
2020,4,265
2020,5,307
2020,6,223
2020,7,150
2020,8,125
2020,9,114
2020,10,158
2020,11,95
2020,12,114
2021,1,121
2021,2,185
2021,3,81
2021,4,79
2021,5,103
2021,6,68
2021,7,102
2021,8,78
2021,9,92
2021,10,328
2021,11,106
2021,12,83
2022,1,57
2022,2,98
2022,3,58
2022,4,57
2022,5,50
2022,6,49
2022,7,63
2022,8,64
2022,9,48
2022,10,61
2022,11,141
2022,12,908
2023,1,976
2023,2,1062
2023,3,1037
2023,4,909
2023,5,881
2023,6,845
2023,7,1165
2023,8,811
2023,9,1035
2023,10,1154
2023,11,162
2023,12,63
2024,1,2
2024,2,124
2024,3,97
2024,4,132
2024,5,82
2024,6,151
2024,7,165
2024,8,139
2024,9,140
2024,10,172
2024,11,126
2024,12,125
2025,1,86
