Year,Month,Headline Count
2012,7,12
2012,8,16
2012,9,9
2012,10,9
2012,11,5
2012,12,15
2013,1,10
2013,2,6
2013,3,8
2013,4,1
2013,5,8
2013,6,3
2013,7,2
2013,9,4
2013,10,4
2013,11,15
2013,12,1
2014,1,9
2014,2,23
2014,3,16
2014,4,5
2014,5,18
2014,6,7
2014,7,2
2014,8,4
2014,9,26
2014,10,9
2014,11,21
2014,12,3
2015,1,3
2015,2,9
2015,3,18
2015,4,13
2015,5,22
2015,6,21
2015,7,11
2015,8,9
2015,9,21
2015,10,8
2015,11,17
2015,12,16
2016,1,11
2016,2,28
2016,3,10
2016,4,14
2016,5,18
2016,6,4
2016,7,1
2016,8,31
2016,9,3
2016,10,6
2016,11,26
2016,12,5
2017,1,13
2017,2,12
2017,3,20
2017,5,6
2017,6,7
2017,7,5
2017,8,8
2017,9,12
2017,10,3
2017,11,21
2017,12,4
2018,1,13
2018,2,29
2018,3,8
2018,4,6
2018,5,8
2018,6,28
2018,7,3
2018,8,8
2018,9,32
2018,10,11
2018,11,18
2018,12,10
2019,1,9
2019,2,26
2019,3,8
2019,4,8
2019,5,37
2019,6,6
2019,7,9
2019,8,12
2019,9,43
2019,10,9
2019,11,36
2019,12,11
2020,1,8
2020,2,45
2020,3,9
2020,4,13
2020,5,33
2020,6,4
2021,10,1
2022,12,9
2023,1,3
2023,2,4
2023,3,3
2023,4,2
2023,5,5
2023,6,2
2023,7,6
2023,8,9
2023,9,1
2023,10,5
2023,11,4
2023,12,1
2024,2,6
2024,4,1
2024,5,13
2024,8,8
2024,11,6
