Year,Month,Headline Count
2003,2,16
2003,3,24
2003,4,23
2003,5,25
2003,6,30
2003,7,29
2003,8,22
2003,9,31
2003,10,22
2003,11,22
2003,12,18
2004,1,18
2004,2,14
2004,3,22
2004,4,20
2004,5,27
2004,6,29
2004,7,38
2004,8,20
2004,9,22
2004,10,14
2004,11,30
2004,12,21
2005,1,18
2005,2,19
2005,3,18
2005,4,16
2005,5,24
2005,6,32
2005,7,22
2005,8,43
2005,9,24
2005,10,14
2005,11,17
2005,12,21
2006,1,23
2006,2,46
2006,3,28
2006,4,26
2006,5,68
2006,6,49
2006,7,39
2006,8,39
2006,9,11
2006,10,8
2006,11,26
2006,12,14
2007,1,51
2007,2,69
2007,3,67
2007,4,59
2007,5,64
2007,6,64
2007,7,68
2007,8,61
2007,9,58
2007,10,81
2007,11,56
2007,12,73
2008,1,78
2008,2,67
2008,3,69
2008,4,56
2008,5,58
2008,6,55
2008,7,67
2008,8,62
2008,9,64
2008,10,67
2008,11,69
2008,12,59
2009,1,54
2009,2,66
2009,3,69
2009,4,83
2009,5,58
2009,6,76
2009,7,72
2009,8,83
2009,9,75
2009,10,85
2009,11,73
2009,12,95
2010,1,88
2010,2,135
2010,3,108
2010,4,95
2010,5,118
2010,6,121
2010,7,126
2010,8,124
2010,9,149
2010,10,210
2010,11,180
2010,12,306
2011,1,317
2011,2,289
2011,3,252
2011,4,218
2011,5,300
2011,6,233
2011,7,250
2011,8,219
2011,9,247
2011,10,341
2011,11,277
2011,12,281
2012,1,302
2012,2,339
2012,3,328
2012,4,290
2012,5,268
2012,6,299
2012,7,291
2012,8,271
2012,9,274
2012,10,316
2012,11,340
2012,12,336
2013,1,347
2013,2,388
2013,3,374
2013,4,368
2013,5,341
2013,6,584
2013,7,477
2013,8,484
2013,9,380
2013,10,427
2013,11,443
2013,12,572
2014,1,631
2014,2,618
2014,3,543
2014,4,440
2014,5,497
2014,6,632
2014,7,1216
2014,8,1228
2014,9,1229
2014,10,1345
2014,11,1233
2014,12,1317
2015,1,1508
2015,2,1404
2015,3,1505
2015,4,1392
2015,5,982
2015,6,655
2015,7,651
2015,8,585
2015,9,605
2015,10,702
2015,11,509
2015,12,550
2016,1,730
2016,2,592
2016,3,534
2016,4,564
2016,5,588
2016,6,638
2016,7,566
2016,8,602
2016,9,608
2016,10,646
2016,11,629
2016,12,658
2017,1,706
2017,2,613
2017,3,756
2017,4,507
2017,5,524
2017,6,648
2017,7,601
2017,8,609
2017,9,614
2017,10,690
2017,11,693
2017,12,660
2018,1,703
2018,2,734
2018,3,837
2018,4,739
2018,5,837
2018,6,797
2018,7,774
2018,8,903
2018,9,790
2018,10,988
2018,11,1019
2018,12,939
2019,1,1122
2019,2,993
2019,3,935
2019,4,1131
2019,5,1114
2019,6,981
2019,7,1299
2019,8,1071
2019,9,1056
2019,10,1289
2019,11,996
2019,12,912
2020,1,1081
2020,2,919
2020,3,1109
2020,4,1263
2020,5,799
2020,6,456
2020,7,461
2020,8,496
2020,9,450
2020,10,434
2020,11,472
2020,12,528
2021,1,518
2021,2,530
2021,3,417
2021,4,382
2021,5,449
2021,6,438
2021,7,418
2021,8,490
2021,9,437
2021,10,500
2021,11,509
2021,12,512
2022,1,596
2022,2,567
2022,3,462
2022,4,465
2022,5,458
2022,6,482
2022,7,496
2022,8,499
2022,9,544
2022,10,503
2022,11,587
2022,12,1051
2023,1,561
2023,2,481
2023,3,555
2023,4,578
2023,5,578
2023,6,606
2023,7,647
2023,8,650
2023,9,1785
2023,10,1897
2023,11,1168
2023,12,466
2024,1,17
2024,2,829
2024,3,827
2024,4,741
2024,5,902
2024,6,931
2024,7,922
2024,8,1029
2024,9,789
2024,10,845
2024,11,852
2024,12,1030
2025,1,435
