Year,Month,Headline Count
2008,3,1
2008,7,1
2008,12,1
2009,6,1
2009,9,1
2009,10,6
2009,11,4
2009,12,9
2010,1,16
2010,3,4
2010,4,7
2010,5,3
2010,6,9
2010,7,12
2010,8,5
2010,9,20
2010,10,15
2010,11,6
2010,12,17
2011,1,21
2011,2,4
2011,3,15
2011,4,35
2011,5,6
2011,6,18
2011,7,15
2011,8,3
2011,9,18
2011,10,20
2011,11,7
2011,12,22
2012,1,12
2012,2,9
2012,3,14
2012,4,19
2012,5,4
2012,6,10
2012,7,25
2012,8,2
2012,9,14
2012,10,24
2012,11,15
2012,12,9
2013,1,22
2013,2,10
2013,3,22
2013,4,15
2013,5,4
2013,6,8
2013,7,11
2013,8,1
2013,9,4
2013,10,6
2013,11,4
2013,12,5
2014,1,7
2014,2,3
2014,3,4
2014,4,10
2014,5,7
2014,6,4
2014,7,13
2014,8,4
2014,9,5
2014,10,15
2014,11,9
2014,12,4
2015,1,18
2015,2,11
2015,3,3
2015,4,20
2015,5,9
2015,6,10
2015,7,14
2015,8,6
2015,9,6
2015,10,23
2015,11,3
2015,12,8
2016,1,18
2016,2,9
2016,3,3
2016,4,7
2016,5,5
2016,6,6
2016,7,15
2016,8,1
2016,9,5
2016,10,14
2016,11,6
2016,12,9
2017,1,21
2017,2,4
2017,3,8
2017,4,7
2017,5,4
2017,6,5
2017,7,7
2017,8,7
2017,9,9
2017,10,18
2017,11,7
2017,12,6
2018,1,42
2018,2,6
2018,3,5
2018,4,19
2018,5,14
2018,6,9
2018,7,35
2018,8,9
2018,9,11
2018,10,30
2018,11,10
2018,12,7
2019,1,21
2019,2,10
2019,3,8
2019,4,31
2019,5,5
2019,6,6
2019,7,40
2019,8,14
2019,9,15
2019,10,48
2019,11,18
2019,12,10
2020,1,38
2020,2,12
2020,3,10
2020,4,22
2020,5,5
2020,6,2
2022,12,2
2023,1,4
2023,3,2
2023,4,4
2023,5,1
2023,6,1
2023,7,1
2023,8,2
2023,10,6
2024,8,6
2024,10,1
2024,12,3
