Year,Month,Headline Count
2003,4,1
2003,7,2
2003,8,1
2003,10,1
2003,12,1
2004,1,1
2004,4,1
2004,8,3
2004,9,2
2004,11,1
2005,3,1
2005,4,1
2005,7,1
2005,12,1
2006,4,2
2006,6,1
2006,7,1
2007,1,2
2007,4,1
2007,5,5
2007,6,4
2007,9,2
2007,11,2
2008,3,2
2008,5,1
2008,6,1
2008,7,1
2008,8,1
2008,9,4
2008,12,1
2009,1,1
2009,6,4
2009,7,2
2009,8,1
2009,9,1
2009,10,3
2009,12,1
2010,1,3
2010,2,1
2010,3,6
2010,4,2
2010,5,6
2010,6,5
2010,7,6
2010,8,9
2010,9,5
2010,10,3
2010,12,5
2011,1,1
2011,2,2
2011,3,3
2011,4,9
2011,5,2
2011,6,5
2011,7,3
2011,8,3
2011,9,7
2011,10,8
2011,11,4
2011,12,2
2012,1,10
2012,2,6
2012,3,4
2012,4,11
2012,5,18
2012,6,10
2012,7,20
2012,8,23
2012,9,32
2012,10,38
2012,11,27
2012,12,14
2013,1,13
2013,2,14
2013,3,2
2013,4,12
2013,5,3
2013,6,3
2013,7,7
2013,8,6
2013,9,9
2013,10,9
2013,11,6
2013,12,9
2014,1,3
2014,2,5
2014,3,9
2014,4,13
2014,5,13
2014,6,37
2014,7,40
2014,8,39
2014,9,33
2014,10,30
2014,11,97
2014,12,105
2015,1,40
2015,2,49
2015,3,37
2015,4,34
2015,5,42
2015,6,73
2015,7,81
2015,8,38
2015,9,39
2015,10,41
2015,11,24
2015,12,40
2016,1,45
2016,2,81
2016,3,50
2016,4,51
2016,5,52
2016,6,60
2016,7,22
2016,8,74
2016,9,40
2016,10,38
2016,11,36
2016,12,78
2017,1,43
2017,2,88
2017,3,118
2017,4,75
2017,5,81
2017,6,155
2017,7,54
2017,8,98
2017,9,66
2017,10,40
2017,11,107
2017,12,58
2018,1,56
2018,2,65
2018,3,162
2018,4,55
2018,5,84
2018,6,70
2018,7,64
2018,8,88
2018,9,56
2018,10,48
2018,11,52
2018,12,48
2019,1,49
2019,2,30
2019,3,73
2019,4,96
2019,5,189
2019,6,63
2019,7,39
2019,8,85
2019,9,71
2019,10,80
2019,11,132
2019,12,83
2020,1,50
2020,2,96
2020,3,63
2020,4,52
2020,5,149
2020,6,28
2020,7,33
2020,8,50
2020,9,26
2020,10,21
2020,11,33
2020,12,38
2021,1,16
2021,2,21
2021,3,39
2021,4,37
2021,5,22
2021,6,24
2021,7,42
2021,8,29
2021,9,23
2021,10,29
2021,11,36
2021,12,29
2022,1,13
2022,2,23
2022,3,47
2022,4,26
2022,5,27
2022,6,23
2022,7,88
2022,8,22
2022,9,21
2022,10,41
2022,11,25
2022,12,37
2023,1,22
2023,2,26
2023,3,18
2023,4,10
2023,5,37
2023,6,20
2023,7,16
2023,8,23
2023,9,100
2023,10,57
2023,11,90
2023,12,37
2024,1,1
2024,2,68
2024,3,51
2024,4,43
2024,5,43
2024,6,49
2024,7,27
2024,8,27
2024,9,48
2024,10,50
2024,11,26
2024,12,28
2025,1,7
2025,4,1
2025,7,1
