Time Data,Headline
2024-01-30T21:21:34Z,Microsoft Reports 33% Rise in Profit
2024-01-29T10:00:34Z,Nvidia’s Big Tech Rivals Put Their Own A.I. Chips on the Table
2024-01-25T15:45:31Z,"Microsoft Cuts 1,900 Jobs in Its Video Game Division"
2024-01-20T00:28:41Z,Microsoft Executives’ Emails Hacked by Group Tied to Russian Intelligence
2024-01-12T21:47:56Z,Microsoft Tops Apple to Become Most Valuable Public Company
2024-01-10T10:01:53Z,Microsoft Debates What to Do With A.I. Lab in China
2024-02-28T14:02:57Z,Microsoft Word’s Subtle Typeface Change Affected Millions. Did You Notice?
2024-02-25T10:02:20Z,"Why Microsoft Has Accepted Unions, Unlike Its Rivals"
2024-03-23T12:00:05Z,The Second Coming of the Microsoft Antitrust Battle?
2024-03-20T12:24:03Z,Is Microsoft Building an Unassailable Lead in A.I.?
2024-03-19T18:50:50Z,Microsoft Hires DeepMind Co-Founder to Run Consumer A.I.
2024-03-09T01:07:54Z,About 600 Workers Unionize at Microsoft-Owned Activision
2024-03-05T01:15:14Z,Microsoft Seeks to Dismiss Parts of Suit Filed by The New York Times
2024-03-02T10:03:54Z,Why Elon Musk’s OpenAI Lawsuit Leans on A.I. Research From Microsoft
2024-04-30T14:51:27Z,8 Daily Newspapers Sue OpenAI and Microsoft Over A.I.
2024-04-25T20:31:01Z,Microsoft Reports Rising Revenues as A.I. Investments Bear Fruit
2024-04-23T05:18:04Z,Microsoft Makes a New Push Into Smaller A.I. Systems
2024-04-16T04:00:07Z,Microsoft Makes High-Stakes Play in Tech Cold War With Emirati A.I. Deal
2024-04-02T11:15:09Z,Regulators Force Another Microsoft Split
2024-05-24T09:05:37Z,"ScarJo vs. ChatGPT, Neuralink’s First Patient Opens Up, and Microsoft’s A.I. PCs"
2024-06-25T10:40:44Z,E.U. Charges Microsoft With Antitrust Violations Over Teams Bundling
2024-06-18T20:12:08Z,"Nvidia Becomes Most Valuable Public Company, Topping Microsoft"
2024-06-13T20:03:16Z,Lawmakers Question Microsoft’s President About Its Presence in China
2024-06-06T03:38:59Z,"U.S. Clears Way for Antitrust Inquiries of Nvidia, Microsoft and OpenAI"
2024-07-31T12:18:33Z,Why Microsoft’s Earnings Miss Won’t Stall the A.I. Boom
2024-07-30T20:51:51Z,"Microsoft Profit Jumps 10%, but Cloud Computing Grows Less Than Expected"
2024-07-25T07:31:56Z,Microsoft’s World of Warcraft Workers Vote to Unionize
2024-07-19T18:22:07Z,What to Do if Your Computer Is Affected by the Microsoft Outage
2024-07-19T10:21:30Z,What We Know About the Global Microsoft Outage
2024-07-19T03:05:43Z,Frontier Airlines Briefly Grounds All Flights Amid Microsoft Outage
2024-07-14T09:00:33Z,How Microsoft’s Satya Nadella Became Tech’s Steely Eyed A.I. Gambler
2024-07-10T20:45:38Z,Microsoft Surrenders OpenAI Board Position
2024-08-06T16:00:07Z,Microsoft Says Delta Was Largely Responsible for Flight Cancellations
2024-10-30T20:25:19Z,Microsoft’s Quarterly Revenue Is Up 16% to $65.6 Billion
2024-10-23T20:29:29Z,"Bots Linked to China Target Republican House and Senate Candidates, Microsoft Says"
2024-10-22T09:02:58Z,A Dinky Little Computer Program Is My Secret Weapon for Creativity
2024-10-18T12:33:03Z,What’s at Stake in a Strained Microsoft-OpenAI Partnership
2024-10-18T00:56:11Z,Microsoft and OpenAI’s Close Partnership Shows Signs of Fraying
2024-10-16T19:54:03Z,"Hungry for Energy, Amazon, Google and Microsoft Turn to Nuclear Power"
2024-11-27T23:19:00Z,F.T.C. Launches Antitrust Investigation Into Microsoft
2024-11-25T19:55:54Z,Widespread Microsoft Outage Takes Email and Videoconferencing Offline
2024-11-15T06:57:09Z,Elon Musk Adds Microsoft to Suit Against OpenAI
2024-12-14T13:00:02Z,"Sam Altman on Microsoft, Trump and Musk"
2025-01-29T21:29:02Z,Microsoft Continues to Spend Big on A.I. as Profit Grows 10%
2025-01-20T10:00:13Z,Highlights From the Microsoft Excel World Championship
2025-02-19T16:00:10Z,Microsoft Says It Has Created a New State of Matter to Power Quantum Computers
2025-02-08T10:00:57Z,Microsoft and Nvidia: The Tech Giants Taking a Quieter Approach to Trump
