Date,close,ATR,ADX,OBV,RSI,MACD,Signal_Line,MACD_Histogram
2025-03-21,40.5999,5.167690609377893e-06,99.99999701888432,-264991,50.0,-4.159830310612733e-05,-6.117395078654978e-05,1.9575647680422452e-05
2025-03-24,40.5999,4.798569851565187e-06,99.99999701888443,-264991,50.0,-3.851694820866669e-05,-5.664255027097317e-05,1.8125602062306477e-05
2025-03-25,40.5999,4.455814862167674e-06,99.99999701888453,-264991,50.0,-3.5663841678967856e-05,-5.244680855257211e-05,1.6782966873604254e-05
2025-03-26,40.5999,4.137542372012841e-06,99.99999701888463,-264991,50.0,-3.302207625921483e-05,-4.856186209390066e-05,1.553978583468583e-05
2025-03-27,40.5999,3.842003631154781e-06,99.99999701888471,-264991,50.0,-3.057599707290137e-05,-4.49646890897008e-05,1.4388692016799426e-05
2025-03-28,40.5999,3.5675748003580108e-06,99.9999970188848,-264991,50.0,-2.831110884926602e-05,-4.163397304161385e-05,1.3322864192347829e-05
2025-03-31,40.5999,3.3127480289038674e-06,99.99999701888487,-264991,50.0,-2.621399005420244e-05,-3.854997644413157e-05,1.233598638992913e-05
2025-04-01,40.5999,3.0761231696964484e-06,99.99999701888494,-264991,50.0,-2.4272213330789327e-05,-3.569442382146312e-05,1.1422210490673794e-05
2025-04-02,40.5999,2.8564000861467023e-06,99.999997018885,-264991,50.0,-2.2474271872852114e-05,-3.305039343174092e-05,1.0576121558888804e-05
2025-04-03,40.5999,2.652371508564795e-06,99.99999701888505,-264991,50.0,-2.080951121996577e-05,-3.0602216989385894e-05,9.792705769420124e-06
