Date_x,open_x,high_x,low_x,close_x,volume_x,open,high,low,close,volume,High-Low,High-Close,Low-Close,True Range,ATR,+DM,-DM,Smoothed+DM,Smoothed-DM,+DI,-DI,DX,ADX,OBV,RSI,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,positive,neutral,negative,score
1999-11-01,89.44,91.88,87.5,87.75,6228500,89.44,91.88,87.5,87.75,6228500,4.379999999999996,,,4.379999999999996,4.379999999999996,0.0,,0.0,,0.0,,,,-6228500,50.0,87.75,87.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,89.31,93.13,88.06,91.13,7662600,89.31,93.13,88.06,91.13,7662600,5.069999999999993,5.379999999999996,0.3100000000000023,5.379999999999996,4.451428571428568,1.25,0.0,0.0892857142857142,0.0,2.005776636713737,0.0,100.0,100.0,1434100,100.0,88.27,88.00037037037038,0.2696296296296196,0.0539259259259239,0.2157037037036957,0.0,0.0,0.0,0.0
1999-11-03,93.25,94.75,92.63,94.44,7370100,93.25,94.75,92.63,94.44,7370100,2.1200000000000045,3.620000000000005,1.5,3.620000000000005,4.392040816326528,1.6200000000000043,0.0,0.1986224489795921,0.0,4.522327029413141,0.0,100.0,100.0,8804200,100.0,89.21923076923076,88.47737997256516,0.7418507966656023,0.1915109000738596,0.5503398965917426,0.0,0.0,0.0,0.0
1999-11-04,94.25,94.38,91.0,92.75,6391700,94.25,94.38,91.0,92.75,6391700,3.3799999999999955,0.0600000000000022,3.4399999999999977,3.4399999999999977,4.324037900874633,0.0,1.6299999999999957,0.1844351311953355,0.1164285714285711,4.265344925816432,2.692589059060301,22.60377678452484,94.47169834175178,2412500,79.8329355608592,89.76242603550295,88.79387034496774,0.9685556905352116,0.34691985816613,0.6216358323690815,0.0,0.0,0.0,0.0
1999-11-05,94.13,98.06,93.88,98.0,6471300,94.13,98.06,93.88,98.0,6471300,4.180000000000007,5.310000000000002,1.1299999999999957,5.310000000000002,4.394463765097874,3.680000000000007,0.0,0.4341183361099549,0.1081122448979588,9.87875561878222,2.4601919751078207,60.123147352922544,92.01823041397826,8883800,87.60088041085841,91.02974510696404,89.47580587497012,1.5539392319939225,0.5883237329316886,0.965615499062234,0.0,0.0,0.0,0.0
1999-11-08,97.0,98.25,96.06,97.19,3690000,97.0,98.25,96.06,97.19,3690000,2.1899999999999977,0.25,1.9399999999999975,2.1899999999999977,4.237002067590883,0.1899999999999977,0.0,0.4166813121021008,0.1003899416909618,9.834342902245073,2.3693625844285355,61.16978425911918,89.81476997434547,5193800,82.68698060941827,91.97747662896958,90.04722766200938,1.9302489669602068,0.8567087797373922,1.0735401872228143,0.0,0.0,0.0,0.0
1999-11-09,99.13,100.1,96.0,97.38,6790700,99.13,100.1,96.0,97.38,6790700,4.099999999999994,2.9099999999999966,1.1899999999999975,4.099999999999994,4.227216205620105,1.8499999999999943,0.0,0.5190612183805219,0.0932192315701788,12.279031710997591,2.20521560847168,69.55015252318293,88.36729729926243,11984500,82.91182501708818,92.80863407066656,90.59039598334202,2.21823808732455,1.129014641254824,1.0892234460697263,0.0,0.0,0.0,0.0
1999-11-10,99.44,102.5,99.38,101.8,8297600,99.44,102.5,99.38,101.8,8297600,3.1200000000000045,5.1200000000000045,2.0,5.1200000000000045,4.290986476647241,2.4000000000000057,0.0,0.6534139884961994,0.0865607150294517,15.227593749182446,2.0172684183588,76.604412389497,87.52709123427918,20282100,86.8766404199475,94.19192113671788,91.420737021613,2.771184115104873,1.457448536024834,1.3137355790800391,0.0,0.0,0.0,0.0
1999-11-11,102.8,108.6,102.8,108.5,7690600,102.8,108.6,102.8,108.5,7690600,5.799999999999997,6.799999999999997,1.0,6.799999999999997,4.470201728315296,6.099999999999994,0.0,1.042455846460756,0.0803778068130623,23.320107454158023,1.7980800800091568,85.68304279468168,87.39537348859365,27972700,90.29126213592232,96.39316403876128,92.68586761260462,3.7072964261566455,1.9074181140511963,1.7998783121054491,0.0,0.0,0.0,0.0
1999-11-12,107.8,109.0,105.4,109.0,7612000,107.8,109.0,105.4,109.0,7612000,3.5999999999999943,0.5,3.0999999999999943,3.5999999999999943,4.4080444620070605,0.4000000000000057,0.0,0.9965661431421312,0.0746365348978436,22.60789680620365,1.6931892484555455,86.06490883043546,87.3003402987252,35584700,90.47619047619048,98.33267726356723,93.8943218635228,4.438355400044429,2.413605571249843,2.024749828794586,0.0,0.0,0.0,0.0
1999-11-15,108.9,109.3,104.0,105.3,7382000,108.9,109.3,104.0,105.3,7382000,5.299999999999997,0.2999999999999971,5.0,5.299999999999997,4.4717555718636985,0.0,1.4000000000000057,0.9253828472034076,0.1693053538337123,20.693949665449505,3.786104833166245,69.06783983360548,85.99801883693094,28202700,79.29883138564273,99.40457306917229,94.73918691066926,4.665386158503011,2.863961688700477,1.8014244698025346,0.0,0.0,0.0,0.0
