Date_x,open_x,high_x,low_x,close_x,volume_x,open,high,low,close,volume,High-Low,High-Close,Low-Close,True Range,ATR,+DM,-DM,Smoothed+DM,Smoothed-DM,+DI,-DI,DX,ADX,OBV,RSI,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,positive,neutral,negative,score
2004-06-23,15.0,17.3,14.75,17.2,10893600,15.0,17.3,14.75,17.2,10893600,2.5500000000000007,,,2.5500000000000007,2.5500000000000007,0.0,,0.0,,0.0,,,,-10893600,50.0,17.2,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-24,17.55,17.69,16.5,16.76,2221800,17.55,17.69,16.5,16.76,2221800,1.1900000000000013,0.490000000000002,0.6999999999999993,1.1900000000000013,2.452857142857144,0.3900000000000005,0.0,0.0278571428571428,0.0,1.1357018054746664,0.0,100.0,100.0,-13115400,0.0,17.13230769230769,17.167407407407406,-0.0350997150997152,-0.007019943019943,-0.0280797720797721,0.0,0.0,0.0,0.0
2004-06-25,16.51,16.75,15.79,15.8,1677500,16.51,16.75,15.79,15.8,1677500,0.9600000000000009,0.0100000000000015,0.9700000000000024,0.9700000000000024,2.346938775510205,0.0,0.7100000000000009,0.0258673469387755,0.0507142857142857,1.1021739130434791,2.160869565217393,32.44503664223849,95.1746454744456,-14792900,0.0,16.927337278106506,17.066117969821672,-0.1387806917151657,-0.0333720927589875,-0.1054085989561781,0.0,0.0,0.0,0.0
2004-06-28,16.0,16.21,15.436,16.0,567700,16.0,16.21,15.436,16.0,567700,0.7740000000000009,0.4100000000000001,0.3640000000000007,0.7740000000000009,2.234586005830905,0.0,0.3539999999999992,0.0240196793002915,0.0723775510204081,1.074905116098234,3.2389691348440808,50.16520864680124,91.95968570104245,-14225200,12.499999999999972,16.784670004551657,16.9871462683534,-0.2024762638017421,-0.0671929269675385,-0.1352833368342036,0.0,0.0,0.0,0.0
2004-06-29,16.0,16.7,15.83,16.4,528000,16.0,16.7,15.83,16.4,528000,0.8699999999999992,0.6999999999999993,0.1699999999999999,0.8699999999999992,2.1371155768429837,0.4899999999999984,0.0,0.0573039879216992,0.0672077259475218,2.6813705605173928,3.1447866776958926,7.954061283121431,85.95928395690522,-13697200,29.999999999999943,16.7254900038514,16.943653952179073,-0.2181639483276711,-0.097387131239565,-0.1207768170881061,0.0,0.0,0.0,0.0
2004-06-30,16.4,16.94,16.03,16.07,521900,16.4,16.94,16.03,16.07,521900,0.91,0.5400000000000027,0.3699999999999974,0.91,2.0494644642113418,0.240000000000002,0.0,0.0703537030701494,0.0624071740941274,3.4327847249219,3.0450478739158067,5.985595414671006,80.24687763245993,-14219100,25.751072961373357,16.624645387874263,16.878938844610254,-0.25429345673599,-0.12876839633885,-0.1255250603971399,0.0,0.0,0.0,0.0
2004-07-01,16.08,16.2,15.9,16.03,438700,16.08,16.2,15.9,16.03,438700,0.2999999999999989,0.129999999999999,0.1699999999999999,0.2999999999999989,1.9245027167676745,0.0,0.1300000000000007,0.0653284385651387,0.0672352330874041,3.3945620339191844,3.493641890011462,1.438398996116527,74.61770058700682,-14657800,25.31645569620251,16.533161482047454,16.816054485750236,-0.2828930037027817,-0.1595933178116363,-0.1232996858911453,0.0,0.0,0.0,0.0
2004-07-02,16.1,16.98,16.05,16.98,248300,16.1,16.98,16.05,16.98,248300,0.9299999999999996,0.9499999999999992,0.0199999999999995,0.9499999999999992,1.8548953798556975,0.7800000000000011,0.0,0.1163764072390574,0.0624327164383038,6.2740146157521295,3.365834920736112,30.168310034385204,71.44274411896242,-14409500,46.68674698795182,16.60190586942477,16.828198597916884,-0.2262927284921154,-0.1729331999477322,-0.0533595285443832,0.0,0.0,0.0,0.0
2004-07-06,16.93,17.0,16.48,17.0,304200,16.93,17.0,16.48,17.0,304200,0.5199999999999996,0.0199999999999995,0.5,0.5199999999999996,1.759545709866005,0.0199999999999995,0.0,0.1094923781505533,0.0579732366927106,6.222764065554827,3.2947843507359376,30.764011768064105,68.53712037961255,-14105300,47.0059880239521,16.663151120282496,16.84092462770082,-0.1777735074183226,-0.1739012614418503,-0.0038722459764723,0.0,0.0,0.0,0.0
2004-07-07,16.9,16.9,16.05,16.31,446900,16.9,16.9,16.05,16.31,446900,0.8499999999999979,0.1000000000000014,0.9499999999999992,0.9499999999999992,1.7017210163041476,0.0,0.4299999999999997,0.1016714939969424,0.0845465769289456,5.974627628314529,4.968298335561877,9.196162855114226,64.2984805564341,-14552200,38.9578163771712,16.608820178700572,16.80159687750076,-0.1927766988001877,-0.1776763489135178,-0.0151003498866699,0.0,0.0,0.0,0.0
