Date_x,open_x,high_x,low_x,close_x,volume_x,open,high,low,close,volume,High-Low,High-Close,Low-Close,True Range,ATR,+DM,-DM,Smoothed+DM,Smoothed-DM,+DI,-DI,DX,ADX,OBV,RSI,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,positive,neutral,negative,score
1999-11-01,21.75,24.38,21.75,23.5,1630300,21.75,24.38,21.75,23.5,1630300,2.629999999999999,,,2.629999999999999,2.629999999999999,0.0,,0.0,,0.0,,,,-1630300,50.0,23.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-11-02,23.94,25.13,23.75,25.0,1744800,23.94,25.13,23.75,25.0,1744800,1.379999999999999,1.629999999999999,0.25,1.629999999999999,2.558571428571428,0.75,0.0,0.0535714285714285,0.0,2.093802345058627,0.0,100.0,100.0,114500,100.0,23.73076923076923,23.61111111111111,0.1196581196581192,0.0239316239316238,0.0957264957264953,0.0,0.0,0.0,0.0
1999-11-03,26.0,28.13,25.81,27.44,4191000,26.0,28.13,25.81,27.44,4191000,2.3200000000000003,3.129999999999999,0.8099999999999987,3.129999999999999,2.59938775510204,3.0,0.0,0.2640306122448979,0.0,10.157415403941275,0.0,100.0,100.0,4305500,100.0,24.301420118343195,23.894732510288065,0.4066876080551296,0.100482820756325,0.3062047872988046,0.0,0.0,0.0,0.0
1999-11-04,27.75,29.94,27.75,29.19,2625700,27.75,29.94,27.75,29.19,2625700,2.1900000000000013,2.5,0.3099999999999987,2.5,2.5922886297376087,1.8100000000000025,0.0,0.3744569970845482,0.0,14.445034892679017,0.0,100.0,100.0,6931200,100.0,25.05350933090578,24.286974546563023,0.7665347843427561,0.2336932134736112,0.532841570869145,0.0,0.0,0.0,0.0
1999-11-05,30.0,30.25,26.88,28.25,1284100,30.0,30.25,26.88,28.25,1284100,3.370000000000001,1.0599999999999987,2.3100000000000023,3.370000000000001,2.647839441899208,0.0,0.870000000000001,0.3477100687213663,0.0621428571428572,13.131841123718788,2.3469269382241764,69.67553323582031,97.83396665970146,5647100,85.82202111613876,25.54527712615105,24.58053198755836,0.96474513859269,0.379903598497427,0.5848415400952629,0.0,0.0,0.0,0.0
1999-11-08,27.38,29.88,26.5,29.06,979200,27.38,29.88,26.5,29.06,979200,3.379999999999999,1.629999999999999,1.75,3.379999999999999,2.700136624620693,0.0,0.379999999999999,0.3228736352412687,0.0848469387755102,11.957677707757655,3.1423202071276384,58.37985905905326,95.01581611679802,6626300,87.36559139784944,26.08600372212781,24.912344432924407,1.1736592892034032,0.5386547366386223,0.6350045525647809,0.0,0.0,0.0,0.0
1999-11-09,29.0,29.13,27.5,28.63,567400,29.0,29.13,27.5,28.63,567400,1.629999999999999,0.0700000000000002,1.5599999999999987,1.629999999999999,2.623698294290644,0.0,0.0,0.2998112327240352,0.078786443148688,11.427046828381377,3.0028774009623365,58.37985905905328,92.39896204124484,6058900,82.59212198221091,26.477387764877378,25.187726326781856,1.2896614380955214,0.6888560769300022,0.6008053611655192,0.0,0.0,0.0,0.0
1999-11-10,28.72,28.75,27.81,28.38,300100,28.72,28.75,27.81,28.38,300100,0.9400000000000012,0.120000000000001,0.8200000000000003,0.9400000000000012,2.503434130412741,0.0,0.0,0.2783961446723185,0.0731588400666389,11.120569991846336,2.9223393249247267,58.37985905905329,89.96902611394543,5758800,80.04926108374383,26.770097339511626,25.424191043316533,1.3459062961950927,0.8202661207830202,0.5256401754120725,0.0,0.0,0.0,0.0
1999-11-11,28.38,31.88,27.75,30.38,1172300,28.38,31.88,27.75,30.38,1172300,4.129999999999999,3.5,0.629999999999999,4.129999999999999,2.6196174068118308,3.129999999999999,0.0,0.4820821343385814,0.0679332086333075,18.402768781617343,2.5932492453539133,75.29770414539887,88.92107454476354,6931100,83.99209486166006,27.32546697958676,25.791288003070864,1.5341789765158964,0.9630486919295956,0.5711302845863009,0.0,0.0,0.0,0.0
1999-11-12,31.69,32.0,29.88,32.0,1044800,31.69,32.0,29.88,32.0,1044800,2.120000000000001,1.620000000000001,0.5,2.120000000000001,2.5839304491824144,0.120000000000001,0.0,0.4562191247429685,0.0630808365880713,17.656014111653874,2.4412745555140933,75.70543374338557,87.97710020180799,7975900,86.20102214650765,28.044625905804185,26.251192595435985,1.7934333103681972,1.129125615617316,0.6643076947508813,0.0,0.0,0.0,0.0
